questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
61,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre habilidades del mediador policial.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con material institucional de mediacion policial."
62,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre rol preventivo del mediador policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar alcance del rol del mediador policial."
63,"Procedimientos de policia","Tecnicas de mediacion",6,"Pregunta sobre tecnica para obtener informacion y clarificar hechos mediante escucha activa.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar si corresponde a indagacion."
64,"Procedimientos de policia","Tecnicas de mediacion",6,"Pregunta sobre tecnica de escucha atenta para descubrir sentimientos, deseos y necesidades.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar si corresponde a parafraseo."
65,"Procedimientos de policia","Tecnicas de mediacion",6,"Pregunta sobre tecnica que reformula intervenciones en positivo para identificar posiciones e intereses.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar si corresponde a reformulacion."
66,"Procedimientos de policia","Ruta VBG",6,"Pregunta sobre momento 1 de la ruta cuando la victima busca ayuda directamente en Policia.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar procedimiento SEA POLICIA y ruta VBG."
67,"Procedimientos de policia","Ruta VBG",6,"Pregunta sobre momento 2 de la ruta cuando la victima busca ayuda directamente en Policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar registro de casos y aviso oficioso a autoridad competente."
68,"Procedimientos de policia","Ruta VBG",7,"Pregunta sobre momento 3 de la ruta cuando la victima busca ayuda directamente en Policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar deber de informar mecanismos de atencion."
69,"Procedimientos de policia","Denuncia y actos urgentes",7,"Pregunta verdadero/falso sobre remision para valoracion forense en zonas sin policia judicial.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta de atencion, denuncia y actos urgentes."
70,"Procedimientos de policia","Ruta VBG",7,"Pregunta verdadero/falso sobre informar a la posible victima los mecanismos de atencion a los que tiene derecho.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta VBG y deber de informacion."
