questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
11,"Atencion al ciudadano","Frentes de seguridad",1,"Pregunta verdadero/falso sobre proteccion de tranquilidad y seguridad bajo orientacion policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con material oficial de frentes de seguridad."
12,"Atencion al ciudadano","Red de apoyo y solidaridad",2,"Pregunta verdadero/falso sobre alianza estrategica con empresas y seguridad privada.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar definicion institucional."
13,"Atencion al ciudadano","Red de apoyo y comunicaciones",2,"Pregunta sobre quienes pueden acceder a la red de apoyo y comunicaciones.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar alcance de participantes."
14,"Atencion al ciudadano","Red de apoyo",2,"Pregunta sobre alianza estrategica entre Policia, gremios y empresas para mejorar seguridad ciudadana.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar si corresponde a red de apoyo y comunicaciones."
15,"Atencion al ciudadano","Denuncia virtual",2,"Pregunta sobre finalidad de la denuncia virtual.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con canal institucional vigente."
16,"Atencion al ciudadano","PQRRS",2,"Pregunta verdadero/falso sobre correo institucional para peticiones y reconocimientos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar vigencia del correo y dependencia responsable."
17,"Atencion al ciudadano","Lineas de atencion",2,"Pregunta sobre lineas telefonicas de atencion.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar numeros vigentes."
18,"Procedimientos de policia","Conciliacion y mediacion policial",2,"Pregunta sobre naturaleza de centros de conciliacion y mediacion policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar estructura institucional."
19,"Atencion al ciudadano","Comunicacion no verbal",2,"Pregunta sobre rasgo que revela emociones del interlocutor.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con material de comunicacion no verbal."
20,"Procedimientos de policia","Uniforme policial",2,"Pregunta verdadero/falso sobre honor, dignidad e identidad en el uso del uniforme.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con Resolucion 3372 de 2009."
