questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
31,"Procedimientos de policia","Elementos para el servicio",3,"Pregunta verdadero/falso sobre si la tonfa es elemento basico para el patrullaje.","POR_VALIDAR","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar contra Resolucion 00911 de 2008 y reglamento aplicable."
32,"Procedimientos de policia","Cinturon multiproposito",3,"Pregunta verdadero/falso sobre evitar elementos en la parte posterior para prevenir lesiones ante caidas.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con reglas de ubicacion de elementos del servicio."
33,"Procedimientos de policia","Elementos para el servicio",3,"Pregunta sobre definicion de elementos para el servicio en area urbana y rural.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 00912 del 1 abril de 2009."
34,"Procedimientos de policia","Elementos principales",3,"Pregunta sobre elementos principales para la prestacion del servicio.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar si uniforme, placa y radio portatil hacen parte de los elementos principales."
35,"Procedimientos de policia","Elementos principales",4,"Pregunta sobre elemento que no hace parte de los elementos principales.","POR_VALIDAR","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Requiere validacion normativa porque varias opciones pueden corresponder a elementos complementarios."
36,"Procedimientos de policia","Patrullaje",4,"Pregunta sobre elementos basicos para el desarrollo del patrullaje.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Resolucion 00911 de 2008, capitulo IV."
37,"Procedimientos de policia","Cinturon multiproposito",4,"Pregunta sobre ubicacion de funda de extraccion rapida y arma de fuego.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con reglas de ubicacion en cinturon multiproposito."
38,"Procedimientos de policia","Cinturon multiproposito",4,"Pregunta sobre ubicacion del porta baston y baston policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con reglas de ubicacion en cinturon multiproposito."
39,"Procedimientos de policia","Convivencia",4,"Pregunta verdadero/falso sobre si el articulo 5 de la Ley 1801 define convivencia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016, articulo 5."
40,"Procedimientos de policia","Categorias juridicas",4,"Pregunta sobre numero de categorias juridicas del Codigo Nacional de Seguridad y Convivencia Ciudadana.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
