questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
51,"Procedimientos de policia","Principios Ley 1801",5,"Pregunta verdadero/falso sobre si la necesidad hace parte de los principios de la Ley 1801.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con principios de la Ley 1801 de 2016."
52,"Procedimientos de policia","Caracter publico actividad de policia",5,"Pregunta verdadero/falso sobre impedimento injustificado de grabacion de actividades de policia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con articulo sobre caracter publico de la actividad de policia."
53,"Procedimientos de policia","Medios de policia",5,"Pregunta sobre instrumentos juridicos para cumplimiento de funcion y actividad de policia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar definicion de medios de policia."
54,"Procedimientos de policia","Medios inmateriales",5,"Pregunta sobre identificacion de un medio inmaterial de policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar clasificacion de medios inmateriales."
55,"Procedimientos de policia","Mediacion policial",5,"Pregunta verdadero/falso sobre exclusividad de la mediacion policial para personal uniformado.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar alcance normativo de la mediacion policial."
56,"Procedimientos de policia","Mediacion policial",5,"Pregunta sobre definicion de mediacion policial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar definicion legal y pedagogica."
57,"Procedimientos de policia","Mediacion policial",5,"Pregunta sobre articulo del Codigo Nacional de Seguridad y Convivencia Ciudadana que contempla la mediacion policial.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar si corresponde al articulo 154."
58,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre quien realiza la mediacion policial en Colombia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con Ley 1801 y material de mediacion."
59,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre reto de la mediacion policial.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con enfoque de acuerdos voluntarios y consensuados."
60,"Procedimientos de policia","Mediacion policial",6,"Pregunta sobre tipos de conflicto en los que se puede usar la mediacion policial.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 6","Validar con material de mediacion policial."
