questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
21,"Procedimientos de policia","Uniforme policial",2,"Pregunta verdadero/falso sobre obligaciones durante el uso del uniforme.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con Resolucion 3372 de 2009, articulo 7."
22,"Procedimientos de policia","Uniforme policial",2,"Pregunta sobre obligacion de portar el uniforme con pulcritud y elegancia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 2","Validar con Resolucion 3372 de 2009, articulo 7."
23,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre largo de la falda del uniforme femenino.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 7."
24,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre uso de anillo o argolla por personal femenino y masculino.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 7."
25,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre personal que cumple funciones de escolta y uso de traje civil con distintivo.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 7."
26,"Procedimientos de policia","Uniforme policial",3,"Pregunta sobre prohibicion de modificar uniformes, accesorios, insignias y distintivos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 8."
27,"Procedimientos de policia","Uniforme policial",3,"Pregunta verdadero/falso sobre uso de prendas o distintivos no contemplados en el reglamento.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 8."
28,"Procedimientos de policia","Uniforme policial",3,"Pregunta verdadero/falso sobre donar, vender, alquilar o prestar uniformes o distintivos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con Resolucion 3372 de 2009, articulo 8."
29,"Procedimientos de policia","Uniforme policial",3,"Pregunta verdadero/falso sobre si permanecer afeitado y con cabello corto es una prohibicion.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar redaccion exacta frente a obligaciones y prohibiciones."
30,"Procedimientos de policia","Elementos para el servicio",3,"Pregunta verdadero/falso sobre clasificacion de elementos para el servicio en principales y complementarios.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 3","Validar con reglamento de elementos para el servicio."
