questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
81,"Procedimientos de policia","Acciones con NNA que requieren proteccion",8,"Pregunta sobre actividades durante la atencion de NNA que requieren proteccion.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001."
82,"Procedimientos de policia","Acciones con NNA que requieren proteccion",8,"Pregunta sobre actividades posteriores al restablecimiento de derechos e informacion al SIES.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001."
83,"Procedimientos de policia","Vigilancia establecimientos educativos",8,"Pregunta sobre finalidad de vigilancia y control a entrada y alrededores de establecimientos educativos.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001 y Ley 1098 de 2006."
84,"Procedimientos de policia","Rescate y restablecimiento de derechos NNA",9,"Pregunta sobre punto de control relacionado con ingreso a inmueble autorizado por autoridad competente.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar con guia 2PC-GU-0001."
85,"Procedimientos de policia","Afectaciones integridad fisica NNA",9,"Pregunta sobre eventos que requieren atencion inmediata por especialistas en salud.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar listado con guia 2PC-GU-0001."
86,"Procedimientos de policia","Casos con extranjeros",9,"Pregunta sobre documentos de identificacion exigibles a ciudadanos extranjeros durante ingreso o permanencia.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar con regulaciones de Ministerio de Relaciones Exteriores y Migracion Colombia."
87,"Procedimientos de policia","Documentos falsos",9,"Pregunta sobre informacion para identificar un documento falso.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar criterios de alteracion, laminacion y huellas."
88,"Procedimientos de policia","Casos con extranjeros",9,"Pregunta sobre paises que no requieren visa para ingresar a Colombia.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar vigencia migratoria actual antes de importar."
89,"Procedimientos de policia","Visa",9,"Pregunta sobre significado de visa.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar definicion migratoria vigente."
90,"Procedimientos de policia","Tipos de visa",9,"Pregunta sobre tipos de visa existentes.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar categorias V, R y M segun normativa vigente."
