questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
91,"Procedimientos de policia","Pasaporte",9,"Pregunta sobre definicion de pasaporte como documento que acredita identidad y nacionalidad para viajar.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar definicion migratoria vigente."
92,"Procedimientos de policia","Cedula de extranjeria",9,"Pregunta sobre significado de cedula de extranjeria expedida por Migracion Colombia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 9","Validar con Migracion Colombia."
93,"Procedimientos de policia","Inmunidad diplomatica",10,"Pregunta verdadero/falso sobre restricciones para capturar, allanar, registrar o interceptar comunicaciones de diplomaticos.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con Convencion de Viena y protocolo institucional."
94,"Procedimientos de policia","Inmunidad diplomatica",10,"Pregunta verdadero/falso sobre comunicacion al Ministerio de Relaciones Exteriores ante allanamiento a propiedad diplomatica.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar tramite con Cancilleria y protocolo aplicable."
95,"Procedimientos de policia","Personal diplomatico",10,"Pregunta verdadero/falso sobre cargos o calidades que pueden ostentar diplomaticos.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar listado con normativa y protocolo diplomatico."
96,"Uso de la fuerza","Valoracion tactica",10,"Pregunta sobre capacidad de identificar y priorizar riesgos frente a procedimiento policial o ambiente fisico.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con material de uso de la fuerza."
97,"Uso de la fuerza","Principios internacionales",10,"Pregunta sobre principios que regulan el uso de la fuerza en situaciones diferentes a conflicto armado.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con estandares internacionales sobre FEHCL."
98,"Uso de la fuerza","Instrumentos no vinculantes DIDH",10,"Pregunta sobre instrumentos no vinculantes que regulan conducta de funcionarios encargados de hacer cumplir la ley.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar diferencia entre instrumentos vinculantes y no vinculantes."
99,"Procedimientos de policia","Funcion de policia",10,"Pregunta sobre facultad de hacer cumplir disposiciones dictadas en ejercicio del poder de policia.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con Ley 1801 de 2016."
100,"Uso de la fuerza","Resolucion uso de la fuerza",10,"Pregunta sobre resolucion que debe leerse para criterio fundamentado en uso de la fuerza, armas de fuego y armas no letales.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 10","Validar con Resolucion 02903 de 2017 y vigencia normativa."
