questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
71,"Procedimientos de policia","Ruta VBG y uso de la fuerza",7,"Pregunta verdadero/falso sobre posibilidad de utilizar la fuerza ante violencia contra la victima.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta VBG y modelo de uso de la fuerza."
72,"Procedimientos de policia","Infancia y adolescencia",7,"Pregunta verdadero/falso sobre tramite inmediato por Policia de Infancia y Adolescencia cuando la victima es menor de 18 años.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar con ruta de atencion para NNA."
73,"Procedimientos de policia","Medidas de proteccion",7,"Pregunta sobre medidas de proteccion del Decreto 4799 de 2011.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar Decreto 4799 de 2011 y Ley 1257 de 2008."
74,"Procedimientos de policia","Medidas de proteccion",7,"Pregunta verdadero/falso sobre si retirar al agresor del lugar procede cuando hay violencia contra persona del grupo familiar.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar medidas de proteccion por violencia intrafamiliar."
75,"Procedimientos de policia","Casos con niños, niñas y adolescentes",7,"Pregunta sobre procedimiento ante NNAM en estado de embriaguez.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar guia de infancia y adolescencia."
76,"Procedimientos de policia","Entrevista a NNA",7,"Pregunta sobre condiciones de entrevista en casos de abuso sexual a niños, niñas y adolescentes.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Validar Ley 1652 de 2013 y reglas de entrevista forense."
77,"Procedimientos de policia","Entrevista forense",7,"Pregunta verdadero/falso sobre si la entrevista forense esta prohibida en contexto de abuso sexual a NNA.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 7","Revisar redaccion: requiere contraste con Ley 1652 de 2013."
78,"Procedimientos de policia","Infancia y adolescencia",8,"Pregunta sobre procedimiento de vigilancia y control en materia de infancia y adolescencia.","POR_VALIDAR","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001."
79,"Procedimientos de policia","Proteccion integral NNA",8,"Pregunta sobre norma que contiene el articulo 7 de proteccion integral de niños, niñas y adolescentes.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar Ley 1098 de 2006."
80,"Procedimientos de policia","Acciones con NNA que requieren proteccion",8,"Pregunta sobre fase antes/durante/despues en acciones de vigilancia y control para NNA.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 8","Validar con guia 2PC-GU-0001 antes de importar."
